Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,AAVAS,1847.7,1541.27,1573.53,1615.51
SELL,BIKAJI,694.95,527.15,546.7,579.36
SELL,BLUEDART,7803.95,6654.89,6730.38,7276.14
SELL,BLUESTARCO,1643.25,1113.3,1461.04,1545.71
SELL,BRIGADE,1399.4,862.31,1100.66,1243.19
SELL,CHOLAHLDNG,1250.05,1080.13,1113.93,1130.77
SELL,ELECON,1177.55,947.75,1076.03,1117.03
SELL,ERIS,1005.15,877.91,885.36,918.5
SELL,EXIDEIND,528.85,330.34,443.72,490.66
SELL,GILLETTE,7843.85,6425.46,6792.33,7126.33
SELL,GPIL,1051.6,729.72,879.49,940.76
SELL,IEX,168.68,143.39,151.4,156.03
SELL,JBCHEPHARM,1884.7,1585.31,1780.88,1778.14
SELL,JWL,658.45,370.54,463,560.56
SELL,KAYNES,3645.5,2590.68,2836.15,3185.46
SELL,KEC,817.75,668.23,746.44,767.78
SELL,MOTILALOFS,664.75,373.02,552.85,578.39
SELL,NATCOPHARM,1172.35,895.08,1006.77,1025.37
SELL,NBCC,156.58,98.46,135.58,142.34
SELL,SANOFI,10051.5,8077.6,8556.13,8879.05
SELL,SAREGAMA,563,386.62,439.58,484.9
SELL,SUNTECK,528.4,440.78,444.11,464.57
SELL,TEJASNET,1370,870.02,1027.4,1182.26
SELL,UTIAMC,983.5,845.4,918.23,929.92
SELL,VGUARD,404,317.13,356.53,377.14
BUY,VAIBHAVGBL,321.95,412.5,370.13,346.27
SELL,VARROC,665.5,510.21,538.26,567.16
SELL,WHIRLPOOL,1741.25,1468.86,1467.89,1541.29
SELL,ZENSARTECH,692.2,560.69,613.96,628.5
