Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,BAJAJ-AUTO,9725.55,6974.25,9013.07,9092.82
SELL,CMSINFO,465,383.78,411.59,430.06
SELL,COLPAL,2963.5,2392.55,2745.67,2753.74
SELL,COROMANDEL,1392.1,1147.12,1197.8,1277.79
SELL,EMAMILTD,722.25,505.39,506.7,573.37
SELL,GANESHHOUC,948.25,577.06,792.03,814.3
SELL,GILLETTE,7519,6402.78,6747.81,7036.1
SELL,GRINDWELL,2611.7,2174.9,2201.38,2405.85
SELL,LALPATHLAB,2798.3,2429.9,2418.41,2602.69
SELL,MARICO,653,542.43,551.98,606.04
SELL,MCDOWELL-N,1305.45,1097.13,1178.96,1198.28
SELL,NATCOPHARM,1082.45,892.09,999.58,1009.29
SELL,NBCC,144.1,97.44,134.18,140.48
SELL,SANOFI,9573.65,8048.67,8462.11,8675.82
SELL,SUPREMEIND,5748.55,4394.49,4850.56,5487.09
SELL,ZENSARTECH,673.15,558.82,610.16,620.05
