Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,CHOLAFIN,1359.95,1176.41,1226.84,1274.08
SELL,DABUR,619.85,541.96,536.68,564.16
SELL,ICICIGI,1680.1,1493.74,1666.08,1637.7
SELL,INDIGO,4566.6,3068.98,3951.21,4264.96
SELL,PIDILITIND,3174.05,2685.2,2986.5,3030.13
SELL,MOTHERSON,164.58,109.09,131.17,141.58
SELL,TVSMOTOR,2436.85,1881.56,2118.28,2227.43
SELL,TORNTPHARM,2863.95,2310.96,2646.36,2698.36
SELL,TRENT,4969.45,3200.94,4370.13,4679.48
SELL,MCDOWELL-N,1305.45,1097.13,1178.96,1198.28
SELL,VBL,1546.05,1210.08,1460.12,1484.94
