Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,360ONE,852.9,649.14,776.32,795.08
SELL,AAVAS,1935.75,1549.06,1624.86,1690.47
BUY,ALLCARGO,62.73,71.89,69.97,66.77
SELL,CHAMBLFERT,467.65,345.71,399.52,410.44
SELL,CHEMPLASTS,581.1,478.87,492.26,509.18
SELL,CHOLAHLDNG,1290.75,1089.16,1128.14,1174.24
SELL,EIDPARRY,814.8,571.51,644.73,688.95
SELL,FIVESTAR,813.9,734.21,742.28,757.96
SELL,GPIL,1110.75,742.03,912.69,982.57
SELL,HFCL,127.03,86.86,99.9,104.76
SELL,POWERINDIA,11375.75,6292.71,9552.66,10695.36
SELL,HOMEFIRST,1074.65,905.37,880.37,883.69
SELL,JKPAPER,495.45,382.71,382.44,409.91
SELL,KEC,892.9,674.39,764.44,798.28
SELL,NBCC,161.09,101.21,139.15,146.95
SELL,RKFORGE,844.3,712.31,719.39,713.71
SELL,RCF,185.22,143.74,151.17,159.46
SELL,SUNTECK,598.7,445.97,459.9,498.53
SELL,TEJASNET,1428.95,883.41,1094.31,1229.69
SELL,TRIVENI,414.15,349.05,348.66,350.13
BUY,VAIBHAVGBL,325.6,411.31,365.23,334.84
SELL,WHIRLPOOL,1831.1,1474.27,1522,1614.29
