symbol,industry,sector,cmp,marketCap,sum,priceToEarnings,priceToEarningsDecile,priceToBook,priceToBookDecile,priceToSales,priceToSalesDecile,priceToCashflow,priceToCashflowDecile,enterpriseToEbitda,enterpriseToEbitdaDecile,dividendYield,dividendYieldDecile,return1M,return6M,return12M
MRPL,Oil & Gas Refining & Marketing,Energy,228.75,40091,12,11.15,1,3.02,4,0.44,1,5.69,1,6.68,1,0.44,4,-0.17,133.78,335.3
ZUARIIND,Conglomerates,Industrials,336.5,1003,14,1.4,1,0.26,1,1.2,3,14.02,3,3.04,1,0.38,5,9.93,128.45,209
OIL,Oil & Gas E&P,Energy,591,64089,11,10.12,1,1.33,2,1.97,4,5.86,1,7.78,2,3.28,1,0.31,101.02,134.85
IOC,Oil & Gas Refining & Marketing,Energy,169.25,239002,7,5.59,1,1.3,2,0.31,1,3.36,1,4.66,1,4.59,1,-0.09,89.96,117.27
CHENNPETRO,Oil & Gas Refining & Marketing,Energy,944.3,14062,7,5.12,1,1.59,2,0.21,1,5.22,1,3.73,1,2.86,1,5.54,88,297.6
HINDPETRO,Oil & Gas Refining & Marketing,Energy,312.53,44334,6,2.77,1,0.94,1,0.1,1,1.86,1,3.86,1,4.81,1,-9.35,87.56,97.97
BPCL,Oil & Gas Refining & Marketing,Energy,300.35,65154,6,2.38,1,0.86,1,0.15,1,1.81,1,2.49,1,8.18,1,-3.63,75.97,74.47
GPTINFRA,Engineering & Construction,Industrials,168.05,978,14,16.91,2,3.23,5,0.96,2,8.62,2,9.04,2,2.08,1,-14.52,73.25,281.5
NATIONALUM,Aluminum,Basic Materials,161.5,29662,15,14.91,2,2.04,3,2.26,5,10.91,2,8.54,2,2.48,1,0.44,70.9,105.99
JPPOWER,Utilities - Independent Power Producers,Utilities,16,10966,15,10.73,1,0.96,1,1.62,4,5.69,1,7.02,1,0,7,-12.57,67.54,188.29
SMCGLOBAL,Capital Markets,Financial Services,127.8,1339,15,7.14,1,1.22,2,0.85,2,9999999999,8,6.22,1,1.87,1,-3.58,62.29,78.62
KCP,Building Materials,Basic Materials,184.45,2378,13,12.61,2,1.69,2,0.84,2,22.59,4,8.5,2,2.1,1,-3.78,58.53,78.21
GICRE,Insurance - Reinsurance,Financial Services,344.5,60440,8,8.75,1,1.09,1,1.28,3,5.42,1,4.25,1,2.09,1,-11.09,57.88,157.76
CANBK,Banks - Regional,Financial Services,117.81,21373,14,1.4,1,0.23,1,0.32,1,1.42,1,9999999999,9,10.19,1,1.8,57.84,107.08
IMFA,Steel,Basic Materials,646.65,3489,9,8.84,1,1.65,2,1.25,3,6.81,1,5.6,1,1.95,1,3.8,57.7,126.93
SAIL,Steel,Basic Materials,140.75,58138,13,18.97,3,1.02,1,0.55,1,19.97,4,7.99,2,1.07,2,5.83,57.7,70.19
DHUNINV,Capital Markets,Financial Services,1194.75,729,12,14.91,2,0.28,1,2.07,4,5.46,1,7.62,2,1.27,2,-2.3,56.96,99.32
JKTYRE,Auto Parts,Consumer Cyclical,428.95,11184,13,14.22,2,2.49,4,0.75,1,6.93,1,7.55,2,0.67,3,-17.65,55.61,176.74
NCC,Engineering & Construction,Industrials,243.05,15260,14,21.47,3,2.3,3,0.73,1,11.22,2,8.54,2,0.91,3,-3.95,54.91,129.08
COALINDIA,Thermal Coal,Energy,442.05,272424,15,7.28,1,3.29,5,2.09,4,15.05,3,4.84,1,5.54,1,-0.96,53.52,106.9
ARVIND,Textile Manufacturing,Consumer Cyclical,274.5,7182,13,21.35,3,2.03,3,0.93,2,10.31,2,9.83,2,2.15,1,-1.88,50.53,222.94
GAIL,Utilities - Regulated Gas,Utilities,182.35,119897,10,12.11,1,1.56,2,0.9,2,9.53,2,8.28,2,3.02,1,-0.98,50.27,73.42
PREMEXPLN,Specialty Chemicals,Basic Materials,302.62,326,12,11.47,1,1.48,2,1.2,3,4.12,1,5.86,1,0.56,4,-2.54,48.14,274.21
ONGC,Oil & Gas Integrated,Energy,269.9,339542,6,6.9,1,1.01,1,0.53,1,3.42,1,4.53,1,3.8,1,-0.24,47.69,78.68
MUNJALAU,Auto Parts,Consumer Cyclical,82.9,830,11,21.54,3,2.07,3,0.44,1,6.52,1,7.59,2,2.41,1,-7.01,47.12,128.37
