date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2024-04-01,RELIANCE,Oil & Gas Refining & Marketing,Energy,2969.55,2009226,28.86,2.53,2.23,12.65,13.34,0.3,8.77,38.02,28.32,13.7,-0.49
2024-04-01,TCS,Information Technology Services,Technology,3916.75,1417115,31.11,15.66,5.88,31.96,21.11,1.77,50.73,22.17,10.71,3.53,-4.34
2024-04-01,HDFCBANK,Banks - Regional,Financial Services,1470.5,,,,,,,,,-8.64,-3.86,-13.45,2.78
2024-04-01,ICICIBANK,Banks - Regional,Financial Services,1099.65,,,,,,,,,25.35,18.24,11.95,1.17
2024-04-01,BHARTIARTL,Telecom Services,Communication Services,1217.35,735798,95.11,8.97,4.91,9.33,12.8,0.57,9.1,62.53,31.71,19.15,7.85
2024-04-01,SBIN,Banks - Regional,Financial Services,758.3,676754,10.09,1.63,2.02,31.28,2.8,1.49,16.17,44.78,29.35,18.59,-1.41
2024-04-01,INFY,Information Technology Services,Technology,1495.45,,,,,,,,,4.73,3.54,-2.54,-9.62
2024-04-01,LICI,Insurance - Life,Financial Services,970.6,613905,17.05,7.42,0.77,24.21,15.86,0,43.5,81.64,52.26,15.86,-5.74
2024-04-01,ITC,Tobacco,Consumer Defensive,426.7,532724,26.05,7.15,7.58,31.01,18.54,3.74,27.46,11.26,-2.16,-9.28,4.2
2024-04-01,HINDUNILVR,Household & Personal Products,Consumer Defensive,2285.9,537094,52.26,10.49,8.81,34.72,34.76,1.75,20.07,-10.72,-8.85,-12.54,-5.14
2024-04-01,LT,Engineering & Construction,Industrials,3838,527598,40.88,6.11,2.39,28.88,25.04,0.8,15.12,77.34,26.76,11.63,5.63
2024-04-01,BAJFINANCE,Credit Services,Financial Services,7250.95,448115,30.73,5.84,13.05,-6.16,17.32,0.4,18.84,29.1,-7.68,-2.41,10.34
2024-04-01,HCLTECH,Information Technology Services,Technology,1556.7,421553,26.9,6.18,3.84,18.78,16.27,3.34,23,43.44,25.59,5.93,-5.32
2024-04-01,MARUTI,Auto Manufacturers,Consumer Cyclical,12569.6,395192,29.3,4.61,2.93,23.52,17.17,0.69,15.75,51.58,24.08,23.26,8.16
2024-04-01,SUNPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,1629.25,390912,40.82,6.14,8.19,32.21,27.87,0.74,15.04,65.73,44.98,25.69,4.49
2024-04-01,ADANIENT,Thermal Coal,Energy,3252.1,370740,119.39,9.49,3.85,35.95,34.79,0.04,8.29,85.79,31.93,10.9,-2.01
2024-04-01,KOTAKBANK,Banks - Regional,Financial Services,1790.7,355977,19.58,2.74,4.96,22.7,7.71,0.09,14.01,3.34,3.99,-3.99,3.65
2024-04-01,TITAN,Luxury Goods,Consumer Cyclical,3738.4,331620,94.93,35.3,7.09,195.65,59.52,0.27,37.22,48.65,18.06,1.09,-0.73
2024-04-01,ONGC,Oil & Gas Integrated,Energy,269.9,339542,6.9,1.01,0.53,3.42,4.53,3.8,14.6,78.68,47.69,30.35,-0.24
2024-04-01,TATAMOTORS,Auto Manufacturers,Consumer Cyclical,992.25,380255,12.11,4.48,0.87,5.6,6.91,0.2,36.98,135.8,61.71,26.5,1.52
2024-04-01,NTPC,Utilities - Regulated Electric,Utilities,342.35,331966,15.95,2.07,1.86,8.14,10.17,2.24,12.95,95.52,45.59,11.88,-0.33
2024-04-01,AXISBANK,Banks - Regional,Financial Services,1053.1,325047,12.39,2.07,4.24,-58.52,4.46,0.09,16.8,22.67,5.78,-3.67,-4.2
2024-04-01,DMART,Discount Stores,Consumer Defensive,4483.3,291744,115.16,15.6,5.74,106.25,68.69,0,13.56,31.82,15.76,9.26,15.43
2024-04-01,ADANIGREEN,Utilities - Renewable,Utilities,1888.3,299113,271.92,30.42,32.44,38.78,43.04,0,11.19,114.3,94.29,17.76,-4.13
2024-04-01,ADANIPORTS,Marine Shipping,Industrials,1375.9,297214,36.64,5.61,11.13,19.79,21.14,0.36,15.32,117.74,66.86,27.59,4.07
2024-04-01,ULTRACEMCO,Building Materials,Basic Materials,9954.4,286874,40.99,4.76,4.05,26.32,21.99,0.38,11.63,30.6,22.58,-2.45,-1.79
2024-04-01,ASIANPAINT,Specialty Chemicals,Basic Materials,2871,275284,50.42,14.7,7.78,45.1,33.33,0.93,29.15,3.96,-9.43,-15.34,1.39
2024-04-01,COALINDIA,Thermal Coal,Energy,442.05,272424,7.28,3.29,2.09,15.05,4.84,5.54,45.21,106.9,53.52,12.58,-0.96
2024-04-01,BAJAJFINSV,Financial Conglomerates,Financial Services,1646,262253,32.19,4.35,2.48,-3.82,14.6,0.45,13.51,29.96,7.4,-2.38,2.02
2024-04-01,BAJAJ-AUTO,Auto Manufacturers,Consumer Cyclical,9042.15,252439,33.16,8.72,5.77,38.49,24.24,1.57,26.61,132.76,83.84,35.67,12.46
2024-04-01,POWERGRID,Utilities - Regulated Electric,Utilities,280.15,260557,16.74,2.99,5.68,6.99,9.43,4.31,17.87,65.5,40.78,17.78,-2.62
2024-04-01,NESTLEIND,Packaged Foods,Consumer Defensive,2585.6,,,,,,,,,31.22,12.48,-5.02,-0.61
2024-04-01,WIPRO,Information Technology Services,Technology,484.95,253394,23.29,3.38,2.82,14.38,13.47,0.21,14.73,32.77,19.77,3.36,-6.58
2024-04-01,M&M,Auto Manufacturers,Consumer Cyclical,1915.95,229525,19.03,3.47,1.66,-40.77,12.2,0.79,17.02,65.35,25.88,15.68,-2.89
2024-04-01,IOC,Oil & Gas Refining & Marketing,Energy,169.25,239002,5.59,1.3,0.31,3.36,4.66,4.59,22.75,117.27,89.96,29.64,-0.09
2024-04-01,JIOFIN,Asset Management,Financial Services,356.95,,,,,,,,,-9999999999,58.89,51.67,12.28
2024-04-01,HAL,Aerospace & Defense,Industrials,3403.35,227608,29.87,7.81,7.49,27.68,19.12,0.87,26.15,149.23,77.6,21.91,7.9
2024-04-01,DLF,Real Estate - Development,Real Estate,948.25,234722,86.05,5.95,36.52,92.45,63.48,0.42,6.92,165.84,80.36,32.84,4.21
2024-04-01,ADANIPOWER,Utilities - Independent Power Producers,Utilities,560.45,216163,10.86,5.01,4.29,15.25,8.88,0,48.28,192.51,50.64,8.07,1.14
2024-04-01,JSWSTEEL,Steel,Basic Materials,871.95,212451,24.11,2.74,1.23,17.59,9.91,0.39,11.35,26.72,15.25,0.2,4.28
2024-04-01,TATASTEEL,Steel,Basic Materials,163.15,203669,-45.9,2.21,0.9,10.03,16.97,2.17,-4.82,56.12,30.21,16.87,8.8
2024-04-01,SIEMENS,Specialty Industrial Machinery,Industrials,5462.9,,,,,,,,,64.19,56.02,35.17,16.21
2024-04-01,IRFC,Credit Services,Financial Services,144.8,189232,29.51,3.85,7.1,23.91,58.58,1.04,13.04,444.36,92.94,44.8,-1.76
2024-04-01,VBL,Beverages - Non-Alcoholic,Consumer Defensive,1397.2,,,,,,,,,101.47,51.8,13.03,-1.46
2024-04-01,ZOMATO,Internet Retail,Consumer Cyclical,184.5,160151,461.25,7.85,13.22,247.91,248.21,0,1.72,261.76,83.13,43.36,10.81
2024-04-01,PIDILITIND,Specialty Chemicals,Basic Materials,3051.55,155205,89.8,18.46,12.53,56.98,56.33,0.36,20.57,29.69,26.81,11.46,10.66
2024-04-01,GRASIM,Building Materials,Basic Materials,2292.55,155534,26.92,1.75,1.19,-14.51,18.08,0.72,6.34,40.97,21.41,9.53,1.67
2024-04-01,SBILIFE,Insurance - Life,Financial Services,1489.95,149214,78.79,10.01,1.13,5.14,74.39,0.18,12.7,35.31,17.27,3.64,-3.38
2024-04-01,BEL,Aerospace & Defense,Industrials,211.1,154310,38.73,9.45,7.61,33.12,26.6,0.95,24.41,116.4,52.03,15.89,2.68
2024-04-01,LTIM,Information Technology Services,Technology,4882.6,144605,31.61,7.22,4.07,25.51,20.44,1.23,22.89,2.58,-5.85,-20.53,-7.41
2024-04-01,TRENT,Apparel Retail,Consumer Cyclical,3886.8,138172,92.94,33.97,11.17,102.43,47.8,0.06,36.55,182.69,92.2,29.77,-0.37
2024-04-01,PNB,Banks - Regional,Financial Services,125.6,138299,15.19,1.25,2.57,-4.95,0.95,0.52,8.25,169.53,57.49,29.48,0.6
2024-04-01,INDIGO,Airlines,Industrials,3548.95,136982,16.76,68.61,1.99,6.46,10.06,0,409.35,85.75,48.8,21.3,12.4
2024-04-01,BANKBARODA,Banks - Regional,Financial Services,266.75,137947,7.35,1.15,1.92,-21.99,1.43,2.06,15.68,57.98,25.59,15.63,-1.62
2024-04-01,HDFCLIFE,Insurance - Life,Financial Services,634.75,136497,86.83,9.31,1.34,12.89,86.57,0.35,10.73,27.15,1.48,-1.67,7.59
2024-04-01,ABB,Specialty Industrial Machinery,Industrials,6504.65,,,,,,,,,93.29,62.72,38.35,18.49
2024-04-01,BPCL,Oil & Gas Refining & Marketing,Energy,300.35,65154,2.38,0.86,0.15,1.81,2.49,8.18,35.51,74.47,75.97,31.66,-3.63
2024-04-01,PFC,Credit Services,Financial Services,401.2,132401,6.7,1.31,3.94,-1.35,11.67,4.65,19.54,230.48,64.49,2.96,-2.92
2024-04-01,GODREJCP,Household & Personal Products,Consumer Defensive,1228.35,125639,-224.15,9.97,8.99,60.7,174.64,0.41,-4.45,26.88,24.02,5.97,-3.08
2024-04-01,TATAPOWER,Utilities - Independent Power Producers,Utilities,406.95,130035,35.18,4.02,2.12,10.32,13.3,0.49,11.42,113.9,58.56,23.37,7.83
2024-04-01,HINDALCO,Aluminum,Basic Materials,568.6,127193,12.53,1.2,0.59,5.29,6.76,0.52,9.57,40.27,20.11,-7.84,9.54
2024-04-01,HINDZINC,Other Industrial Metals & Mining,Basic Materials,306.15,129359,16.67,8.51,4.61,9.69,9.4,4.25,51.06,4.36,-0.65,-3.51,-0.84
2024-04-01,TECHM,Information Technology Services,Technology,1244.55,121563,46.82,4.56,2.34,19.06,22.2,3.22,8.84,12.95,3.28,-2.62,-2.14
2024-04-01,AMBUJACEM,Building Materials,Basic Materials,621.5,136586,37.28,3.29,4.12,24.19,20.23,0.36,8.63,70.02,44.65,17.07,0.63
2024-04-01,INDUSINDBK,Banks - Regional,Financial Services,1542.4,120049,13.37,1.9,4,-7.09,3.48,0.9,14.2,44.43,10.07,-2.11,1.03
2024-04-01,CIPLA,Drug Manufacturers - General,Healthcare,1498.65,120997,29.36,4.53,4.75,29.27,17.76,0.57,15.43,66.42,28.41,16.94,1.89
2024-04-01,GAIL,Utilities - Regulated Gas,Utilities,182.35,119897,12.11,1.56,0.9,9.53,8.28,3.02,12.86,73.42,50.27,11.16,-0.98
2024-04-01,RECLTD,Credit Services,Financial Services,460.55,121274,8.57,1.75,7.03,-2.1,11.79,2.36,20.4,298.92,62.65,9.73,0.2
2024-04-01,BRITANNIA,Packaged Foods,Consumer Defensive,4895.2,117910,55.1,29.91,7.13,45.83,35.36,1.47,54.29,13.26,8,-7.44,-0.66
2024-04-01,UNIONBANK,Banks - Regional,Financial Services,156.75,119657,8.67,1.23,2.18,6,0.31,1.71,14.14,135.54,44.54,29.65,6.85
2024-04-01,ADANIENSOL,Utilities - Independent Power Producers,Utilities,1112,124043,109.07,9.81,7.47,20.54,25.62,0.07,9,-9999999999,37.61,4.66,3.69
2024-04-01,IOB,Banks - Regional,Financial Services,64.75,122394,45.91,4.44,7.89,-109.38,7.45,0,9.67,188.42,36.6,49.02,0.23
2024-04-01,LODHA,Real Estate - Development,Real Estate,1171.4,116491,73.26,6.67,11.29,46.37,45.22,0.08,8.87,151.83,56.17,15.47,-0.16
2024-04-01,EICHERMOT,Auto Manufacturers,Consumer Cyclical,3946.65,108062,27.05,5.99,6.66,29.02,18.52,0.94,22.17,33.84,16.05,1.39,2.68
2024-04-01,CANBK,Banks - Regional,Financial Services,117.81,21373,1.4,0.23,0.32,1.42,-0.77,10.19,16.58,107.08,57.84,32.68,1.8
2024-04-01,TATACONSUM,Packaged Foods,Consumer Defensive,1086.9,103564,88.22,6.45,6.81,53.47,51.03,0.78,7.16,53.33,25.69,-0.99,-9.5
2024-04-01,DRREDDY,Drug Manufacturers - Specialty & Generic,Healthcare,6250.35,104087,18.69,3.71,3.73,22.91,12.67,0.64,19.85,35.21,15.37,5.46,0.92
2024-04-01,TVSMOTOR,Auto Manufacturers,Consumer Cyclical,2139.1,101626,60.26,14.98,2.6,-81.13,22.72,0.37,24.86,98.58,42.98,8.63,-4.62
2024-04-01,ZYDUSLIFE,Drug Manufacturers - Specialty & Generic,Healthcare,999.8,100604,26.22,5.07,5.29,31.17,17.85,0.62,19.35,103.4,65.68,40.37,8.05
2024-04-01,ATGL,Utilities - Regulated Gas,Utilities,969.55,106633,159.73,29.78,23.83,111.64,92.7,0.03,18.64,11.73,58.76,-3.13,-6.7
2024-04-01,VEDL,Other Industrial Metals & Mining,Basic Materials,287.5,106676,25.38,3.47,0.75,2.99,5.74,17.41,13.8,4.75,28.69,11.37,5.78
2024-04-01,CHOLAFIN,Credit Services,Financial Services,1185.4,99565,28.87,5.08,9.77,-2.79,16.35,0.17,17.46,55.71,-2,-2.84,8.17
2024-04-01,HAVELLS,Electrical Equipment & Parts,Industrials,1514.45,94909,74.69,12.74,5.11,48.6,45.39,0.5,17.06,27.43,8.67,9.73,-0.08
2024-04-01,HEROMOTOCO,Auto Manufacturers,Consumer Cyclical,4680.75,93579,24.99,5.29,2.48,19.01,15.79,2.89,21.16,99.41,56.6,14.49,3.85
2024-04-01,DABUR,Household & Personal Products,Consumer Defensive,529.15,93768,50.98,9.5,7.56,46.57,32.57,1.03,18.68,-2.89,-4.72,-4.97,-2.21
2024-04-01,SHREECEM,Building Materials,Basic Materials,26458,95463,39.85,4.61,4.65,28.52,18.94,0.4,11.57,1.04,3.89,-5.81,3.2
