Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,BASF,4987.45,3227.94,4132.55,4471.11
SELL,COROMANDEL,1530.15,1159.66,1245.69,1355.62
SELL,EICHERMOT,4936.1,3928.14,4581.34,4759
SELL,EMAMILTD,740.7,511.4,540.94,633.32
SELL,GANESHHOUC,1043.45,594.4,821.82,865.21
SELL,GPIL,1088.9,739.41,905.45,973.74
SELL,GRSE,1847.55,894.91,1119.9,1394.87
SELL,HAL,5533.45,2968.08,4286.64,4937.98
SELL,LLOYDSME,747.7,597.72,697.22,700.5
SELL,MAZDOCK,4178.25,2228.35,2651,3205.99
SELL,MSUMI,78.75,64.98,69.05,68.65
SELL,NAM-INDIA,654.6,464.09,581.42,609.38
SELL,NBCC,158.19,100.66,138.48,146.33
SELL,POLYCAB,7110.25,5300.58,6136.01,6812.32
SELL,TIINDIA,4363.25,3489.14,3778.51,3888.39
