Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,ABCAPITAL,239.96,187.21,219.85,227.29
SELL,ABFRL,328.6,235.98,269.16,299.57
SELL,ASHOKLEY,239.84,181.55,200.93,223.95
SELL,BHARATFORG,1717.3,1197.91,1380.82,1560.33
SELL,CGPOWER,688.8,476.66,588.15,651.28
SELL,CARBORUNIV,1773.95,1225.02,1488.71,1647.84
SELL,COROMANDEL,1508.8,1157.36,1237.75,1342.13
SELL,DIXON,11242.85,6595.64,8669.86,9638.76
SELL,ENDURANCE,2694.1,1824.5,2082.39,2301.58
SELL,ESCORTS,4292.1,3160.42,3538.83,3940.5
SELL,FEDERALBNK,174.4,151.67,160.44,164.46
SELL,FORTIS,502.25,397.42,450.26,463.29
SELL,GMRINFRA,93.92,74.07,84.7,86.65
SELL,GRINDWELL,2714.65,2186.39,2275.35,2511.26
SELL,HONAUT,57926.8,40364.53,47915.91,52736.83
SELL,JSWENERGY,683.6,479.82,608.74,620.91
SELL,LTF,181.87,152.81,163.13,161.18
SELL,LICHSGFIN,731.65,557.91,651.85,658.68
SELL,LODHA,1557.1,1018.04,1258.74,1374.13
SELL,MAXHEALTH,927.9,709.41,815.85,817.67
SELL,MAZDOCK,3877.55,2216.8,2607.35,3134.91
SELL,MSUMI,73.91,64.89,68.84,68.15
SELL,OIL,699.45,447.25,630.11,643.17
SELL,POLICYBZR,1372.05,956.04,1260.11,1277.97
SELL,PETRONET,323.9,252.63,301.69,305.12
SELL,PHOENIXLTD,3561.6,2451.29,3103.56,3238.04
SELL,POLYCAB,7079.9,5289.28,6097.92,6781.35
SELL,PRESTIGE,1926.85,1098.53,1487.62,1680.82
SELL,SKFINDIA,6921.2,4883.23,5270.7,6143.05
SELL,SCHAEFFLER,4825.6,3232.69,3858.53,4406.94
SELL,SUMICHEM,497.55,404.29,421.54,463.4
SELL,TIMKEN,4579.35,3160.87,3562.63,4068
SELL,TIINDIA,4307,3481.41,3766.64,3860.47
SELL,UNOMINDA,1042.75,677.86,789.66,883.64
SELL,VOLTAS,1498.5,1046.65,1364.21,1398.19
